Номер студента,Сумма,Курс,Время
437,"8 950,00",ML про,04.08.2026 09:08:31
437,"7 890,00",Аналитика старт,04.08.2026 09:35:00
443,"8 475,00",Линейная алгебра,04.08.2026 10:14:38
443,"8 475,00",Мат анализ,04.08.2026 10:14:38
430,"8 950,00",К ВУЗу,04.08.2026 13:38:06
480,"15 695,00",Data Science,04.08.2026 16:17:19
131,"8 745,00",Backend старт,04.08.2026 17:05:46
571,"8 475,00",ML про,04.08.2026 17:19:52
571,"8 475,00",ML старт,04.08.2026 17:19:52
159,"8 475,00",Backend про,05.08.2026 12:56:32
159,"8 475,00",Backend старт,05.08.2026 12:56:32
126,"8 745,00",ML старт,05.08.2026 13:22:41
225,"8 745,00",АВ тестам,05.08.2026 14:22:34
137,"8 475,00",Backend старт,05.08.2026 15:01:16
280,"8 245,00",ML старт,05.08.2026 16:37:02
222,"7 975,00",Backend про,05.08.2026 18:52:56
222,"7 975,00",Backend старт,05.08.2026 18:52:56
291,"9 950,00",Линейная алгебра,06.08.2026 10:06:16
291,"9 950,00",Мат анализ,06.08.2026 10:06:16
295,"6 950,00",К ВУЗу,06.08.2026 10:14:55
294,"9 950,00",Линейная алгебра,06.08.2026 10:39:31
325,"9 950,00",Линейная алгебра,06.08.2026 11:41:17
166,"6 950,00",К ВУЗу,06.08.2026 12:15:46
477,"500,00",Теория вероятностей,06.08.2026 14:52:49
579,"8 245,00",ML старт,06.08.2026 16:20:47
334,"9 950,00",Линейная алгебра,07.08.2026 11:16:14
334,"9 950,00",Мат анализ,07.08.2026 11:16:14
459,"9 950,00",Мат анализ,07.08.2026 11:31:08
313,"9 450,00",Мат анализ,07.08.2026 11:58:49
481,"8 745,00",ML про,07.08.2026 13:09:54
249,"6 950,00",К ВУЗу,07.08.2026 19:38:55
259,"8 745,00",ML про,08.08.2026 07:59:01
26,"6 490,00",Backend старт,08.08.2026 09:23:01
183,"6 490,00",Backend старт,08.08.2026 10:08:11
47,"4 995,00",ML старт,08.08.2026 12:24:55
47,"4 995,00",Алгоритмы старт,08.08.2026 12:24:55
518,"6 490,00",Алгоритмы старт,08.08.2026 12:37:37
54,"6 490,00",Алгоритмы старт,08.08.2026 12:39:51
554,"5 000,00",ML старт,08.08.2026 12:44:01
554,"5 000,00",Алгоритмы старт,08.08.2026 12:44:01
473,"10 000,00",Алгоритмы,08.08.2026 13:57:16
308,"4 950,00",Backend старт,08.08.2026 14:05:17
308,"4 950,00",Алгоритмы старт,08.08.2026 14:05:17
412,"4 995,00",ML старт,08.08.2026 14:06:52
412,"4 995,00",Алгоритмы старт,08.08.2026 14:06:52
7,"4 950,00",Backend старт,08.08.2026 14:07:56
370,"6 490,00",Backend старт,08.08.2026 14:10:35
532,"4 995,00",Аналитика про,08.08.2026 16:22:47
532,"4 995,00",Аналитика старт,08.08.2026 16:22:47
451,"8 245,00",Backend про,08.08.2026 16:24:46
265,"5 990,00",ML старт,08.08.2026 16:25:28
8,"4 495,00",АВ тестам,08.08.2026 16:25:39
8,"4 495,00",Алгоритмы,08.08.2026 16:25:39
33,"4 995,00",Backend старт,08.08.2026 16:26:36
33,"4 995,00",Алгоритмы старт,08.08.2026 16:26:36
512,"4 995,00",Алгоритмы старт,08.08.2026 16:43:12
410,"6 490,00",Backend старт,08.08.2026 16:51:05
516,"4 950,00",Алгоритмы старт,08.08.2026 16:59:49
516,"4 950,00",Аналитика старт,08.08.2026 16:59:49
511,"4 950,00",Аналитика старт,08.08.2026 17:29:42
256,"5 990,00",ML старт,08.08.2026 17:54:37
333,"6 490,00",Аналитика старт,08.08.2026 18:25:13
233,"6 490,00",Аналитика старт,08.08.2026 18:51:08
427,"4 950,00",ML старт,08.08.2026 19:23:46
427,"4 950,00",Алгоритмы,08.08.2026 19:23:46
120,"6 490,00",Аналитика старт,08.08.2026 19:28:26
469,"4 950,00",Алгоритмы,08.08.2026 19:45:24
161,"4 995,00",Backend старт,08.08.2026 19:49:42
161,"4 995,00",Алгоритмы старт,08.08.2026 19:49:42
320,"4 995,00",Алгоритмы старт,08.08.2026 19:54:31
320,"4 995,00",Аналитика старт,08.08.2026 19:54:31
135,"4 995,00",ML старт,08.08.2026 20:00:19
135,"4 995,00",Алгоритмы старт,08.08.2026 20:00:19
73,"4 995,00",Алгоритмы старт,08.08.2026 20:05:40
227,"4 725,00",ML старт,08.08.2026 20:08:33
227,"4 725,00",Алгоритмы старт,08.08.2026 20:08:33
507,"6 490,00",ML старт,08.08.2026 20:12:46
421,"4 995,00",Data Engenering,08.08.2026 20:25:37
421,"4 995,00",Алгоритмы,08.08.2026 20:25:37
401,"8 245,00",Backend про,08.08.2026 22:16:55
160,"4 995,00",Аналитика старт,09.08.2026 02:39:44
32,"6 490,00",ML старт,09.08.2026 04:36:11
415,"4 995,00",Backend старт,09.08.2026 04:51:42
167,"4 950,00",ML старт,09.08.2026 09:07:16
167,"4 950,00",Алгоритмы старт,09.08.2026 09:07:16
262,"6 490,00",Backend про,09.08.2026 09:10:55
570,"4 995,00",Алгоритмы старт,09.08.2026 09:24:57
570,"4 995,00",Аналитика старт,09.08.2026 09:24:57
520,"6 490,00",Аналитика старт,09.08.2026 09:27:27
598,"4 950,00",Backend старт,09.08.2026 09:43:34
598,"4 950,00",Алгоритмы,09.08.2026 09:43:34
279,"6 490,00",Аналитика старт,09.08.2026 09:48:26
207,"6 490,00",Алгоритмы старт,09.08.2026 10:15:38
457,"6 490,00",Алгоритмы старт,09.08.2026 10:16:31
389,"4 950,00",ML старт,09.08.2026 10:18:12
389,"4 950,00",Алгоритмы старт,09.08.2026 10:18:12
89,"9 900,00",Алгоритмы,09.08.2026 10:44:19
232,"6 490,00",Аналитика старт,09.08.2026 10:47:20
527,"4 950,00",ML старт,09.08.2026 10:49:47
